,GeoAreaName,Time_Detail,BOTHSEX.SKILL_READ.GRAD23,BOTHSEX.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.GRAD23,FEMALE.SKILL_MATH.LOWSEC,MALE.SKILL_MATH.GRAD23,BOTHSEX.SKILL_MATH.PRIMAR,MALE.SKILL_READ.GRAD23,MALE.SKILL_MATH.LOWSEC,FEMALE.SKILL_READ.LOWSEC,BOTHSEX.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.GRAD23,BOTHSEX.SKILL_MATH.LOWSEC,MALE.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.PRIMAR,BOTHSEX.SKILL_MATH.GRAD23,MALE.SKILL_MATH.PRIMAR,MALE.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.PRIMAR
0,Netherlands,2011,98.86923677566794,84.92746062152418,84.72581943763198,82.79444444444445,86.16610199622475,68.07642678844826,98.29623884408403,84.93888888888888,89.33555555555554,70.97259967171652,99.45386247682234,83.87679221886252,68.69225796727477,73.45903351888636,85.4323476933098,67.3799916980754,80.61333333333334,68.8193781094737
0,Netherlands,2012,98.83342085359929,84.92413825283019,84.2565563884491,82.67022222222224,85.76357353050628,68.07642678844826,98.23691350907075,84.76244444444444,89.3811111111111,70.97259967171652,99.44313753601182,83.72601862912464,68.69225796727477,73.45903351888636,85.00032937037766,67.3799916980754,80.56466666666667,68.8193781094737
0,Netherlands,2013,98.79760493153064,84.9208158841362,83.78729333926621,82.546,85.3610450647878,68.07642678844826,98.17758817405745,84.586,89.42666666666666,70.97259967171652,99.43241259520131,83.57524503938676,68.69225796727477,73.45903351888636,84.56831104744552,67.3799916980754,80.516,68.8193781094737
0,Netherlands,2014,98.761789009462,84.91749351544223,83.31803029008333,82.42177777777779,84.95851659906931,68.07642678844826,98.11826283904416,84.40955555555556,89.47222222222221,70.97259967171652,99.42168765439081,83.42447144964888,68.69225796727477,73.45903351888636,84.13629272451337,67.3799916980754,80.46733333333333,68.8193781094737
0,Netherlands,2015,98.72597308739336,84.91417114674825,82.84876724090044,82.29755555555556,84.55598813335084,68.07642678844826,98.05893750403088,84.23311111111111,89.51777777777777,70.97259967171652,99.4109627135803,83.273697859911,68.69225796727477,73.45903351888636,83.70427440158123,67.3799916980754,80.41866666666667,68.8193781094737
0,Netherlands,2016,98.6901571653247,84.91084877805426,82.37950419171756,82.17333333333333,84.15345966763236,68.07642678844826,97.9996121690176,84.05666666666667,89.56333333333332,70.97259967171652,99.4002377727698,83.12292427017312,68.69225796727477,73.45903351888636,83.2722560786491,67.3799916980754,80.37,68.8193781094737
0,Netherlands,2017,98.65434124325607,84.90752640936029,81.91024114253467,82.04911111111112,83.75093120191389,68.07642678844826,97.94028683400431,83.88022222222223,89.60888888888887,70.97259967171652,99.3895128319593,82.97215068043523,68.69225796727477,73.45903351888636,82.84023775571694,67.3799916980754,80.32133333333333,68.8193781094737
0,Netherlands,2018,98.61852532118742,84.9042040406663,81.44097809335179,81.92488888888889,83.3484027361954,68.07642678844826,97.88096149899101,83.70377777777779,89.65444444444444,70.97259967171652,99.37878789114879,82.82137709069735,68.69225796727477,73.45903351888636,82.4082194327848,67.3799916980754,80.27266666666667,68.8193781094737
0,Netherlands,2019,98.58270939911877,84.90088167197231,80.9717150441689,81.80066666666667,82.94587427047692,68.07642678844826,97.82163616397773,83.52733333333335,89.69999999999999,70.97259967171652,99.36806295033827,82.67060350095947,68.69225796727477,73.45903351888636,81.97620110985267,67.3799916980754,80.22399999999999,68.8193781094737
0,Netherlands,2000,99.26321191842305,84.96400667715798,89.88771297864372,84.16088888888892,90.59391511912803,68.07642678844826,98.94881752923018,86.87977777777776,88.83444444444444,70.97259967171652,99.5718368257379,85.53530170597921,68.69225796727477,73.45903351888636,90.18454924556335,67.3799916980754,81.14866666666668,68.8193781094737
0,Netherlands,2001,99.2273959963544,84.960684308464,89.41844992946083,84.03666666666669,90.19138665340955,68.07642678844826,98.8894921942169,86.70333333333332,88.88,70.97259967171652,99.5611118849274,85.38452811624133,68.69225796727477,73.45903351888636,89.75253092263121,67.3799916980754,81.10000000000002,68.8193781094737
0,Netherlands,2002,99.19158007428577,84.95736193977002,88.94918688027795,83.91244444444447,89.78885818769106,68.07642678844826,98.83016685920362,86.52688888888888,88.92555555555555,70.97259967171652,99.5503869441169,85.23375452650345,68.69225796727477,73.45903351888636,89.32051259969906,67.3799916980754,81.05133333333335,68.8193781094737
0,Netherlands,2003,99.15576415221712,84.95403957107604,88.47992383109506,83.78822222222225,89.38632972197259,68.07642678844826,98.77084152419032,86.35044444444443,88.97111111111111,70.97259967171652,99.53966200330639,85.08298093676557,68.69225796727477,73.45903351888636,88.88849427676692,67.3799916980754,81.00266666666668,68.8193781094737
0,Netherlands,2004,99.11994823014847,84.95071720238205,88.01066078191218,83.66400000000003,88.98380125625411,68.07642678844826,98.71151618917703,86.17399999999999,89.01666666666667,70.97259967171652,99.52893706249587,84.93220734702768,68.69225796727477,73.45903351888636,88.45647595383478,67.3799916980754,80.95400000000001,68.8193781094737
0,Netherlands,2005,99.08413230807982,84.94739483368807,87.5413977327293,83.5397777777778,88.58127279053564,68.07642678844826,98.65219085416375,85.99755555555555,89.06222222222222,70.97259967171652,99.51821212168537,84.7814337572898,68.69225796727477,73.45903351888636,88.02445763090265,67.3799916980754,80.90533333333335,68.8193781094737
0,Netherlands,2006,99.04831638601118,84.9440724649941,87.07213468354641,83.41555555555557,88.17874432481715,68.07642678844826,98.59286551915046,85.82111111111111,89.10777777777777,70.97259967171652,99.50748718087486,84.63066016755192,68.69225796727477,73.45903351888636,87.5924393079705,67.3799916980754,80.85666666666668,68.8193781094737
0,Netherlands,2007,99.01250046394253,84.9407500963001,86.60287163436352,83.29133333333336,87.77621585909867,68.07642678844826,98.53354018413718,85.64466666666667,89.15333333333332,70.97259967171652,99.49676224006436,84.47988657781404,68.69225796727477,73.45903351888636,87.16042098503836,67.3799916980754,80.808,68.8193781094737
0,Netherlands,2008,98.97668454187388,84.93742772760612,86.13360858518064,83.16711111111113,87.3736873933802,68.07642678844826,98.47421484912388,85.46822222222221,89.19888888888889,70.97259967171652,99.48603729925385,84.32911298807616,68.69225796727477,73.45903351888636,86.72840266210622,67.3799916980754,80.75933333333334,68.8193781094737
0,Netherlands,2009,98.94086861980523,84.93410535891213,85.66434553599775,83.04288888888891,86.97115892766172,68.07642678844826,98.4148895141106,85.29177777777777,89.24444444444444,70.97259967171652,99.47531235844335,84.17833939833828,68.69225796727477,73.45903351888636,86.29638433917408,67.3799916980754,80.71066666666667,68.8193781094737
0,Netherlands,2010,98.9050526977366,84.93078299021816,85.19508248681487,82.91866666666668,86.56863046194323,68.07642678844826,98.35556417909731,85.11533333333333,89.28999999999999,70.97259967171652,99.46458741763284,84.0275658086004,68.69225796727477,73.45903351888636,85.86436601624193,67.3799916980754,80.662,68.8193781094737
